serviceId,serviceName,section,fieldLabel,inputType,dataType,row,col
1,Birth Registration & Certificate,,,,,,
2,Death Registration & Certificate,,,,,,
3,Marriage Registration & Certificate,Marriage Details,Date of Marriage,date,Date,2,1
3,Marriage Registration & Certificate,Marriage Details,Place of Marriage,textarea,Alfa Numeric,2,2
3,Marriage Registration & Certificate,Marriage Details,Type of Marriage,drop down,Charactar,3,1
3,Marriage Registration & Certificate,Marriage Details,Is marriage Registered,drop down,Charactar,3,2
3,Marriage Registration & Certificate,Marriage Details,Registration Number,text,Number,4,1
3,Marriage Registration & Certificate,Marriage Details,Other Details,textarea,Charactar,4,2
3,Marriage Registration & Certificate,Groom Details,Name of Groom in Local Language,text,Charactar,6,1
3,Marriage Registration & Certificate,Groom Details,Name of Groom in English,text,Charactar,6,2
3,Marriage Registration & Certificate,Groom Details,Date of Birth of Groom,date,Date,7,1
3,Marriage Registration & Certificate,Groom Details,Age at time of marriage,text,Number,7,2
3,Marriage Registration & Certificate,Groom Details,Father Name in local language,text,Charactar,8,1
3,Marriage Registration & Certificate,Groom Details,Father Name in English,textarea,Charactar,8,2
3,Marriage Registration & Certificate,Groom Details,Marital Status of Groom,drop down,Charactar,9,1
3,Marriage Registration & Certificate,Address Of Groom,Present Address of groom in Local Language,textarea,Alfa Numeric,11,1
3,Marriage Registration & Certificate,Address Of Groom,Present Address of Groom in English,textarea,Alfa Numeric,11,2
3,Marriage Registration & Certificate,Address Of Groom,Permanent Address of Groom in Local Language,textarea,Alfa Numeric,12,1
3,Marriage Registration & Certificate,Address Of Groom,Permanent Address of Groom in English,textarea,Alfa Numeric,12,2
3,Marriage Registration & Certificate,Address Of Groom,Witness Details of Groom Side,fieldset,Alfa Numeric,13,1
3,Marriage Registration & Certificate,Bride Details,Name of Bride in local language,text,Charactar,15,1
3,Marriage Registration & Certificate,Bride Details,Name of Bride in English,text,Charactar,15,2
3,Marriage Registration & Certificate,Bride Details,Date of Birth of Bride,date,Date,16,1
3,Marriage Registration & Certificate,Bride Details,Bride Age at time of marriage,text,Number,16,2
3,Marriage Registration & Certificate,Bride Details,Fathers name of Bride in Local language,text,Charactar,17,1
3,Marriage Registration & Certificate,Bride Details,Fathers name of Bride in English,text,Charactar,17,2
3,Marriage Registration & Certificate,Bride Details,Marital Status of Bride,drop down,Charactar,18,1
3,Marriage Registration & Certificate,Address Of Bride,Present  Address  of Bride in Local Language,textarea,Alfa Numeric,20,1
3,Marriage Registration & Certificate,Address Of Bride,Present Address of Bride in English,textarea,Alfa Numeric,20,2
3,Marriage Registration & Certificate,Address Of Bride,Permanent Address of Bride in Local Language,textarea,Alfa Numeric,21,1
3,Marriage Registration & Certificate,Address Of Bride,Permanent Address of Bride in English,textarea,Alfa Numeric,21,2
3,Marriage Registration & Certificate,Address Of Bride,Witness Details of Bride Side,fieldset,Alfa Numeric,22,1
4,SC/ST Certificate,General Details,Beneficiary Guardian Type,drop down,Charactar,2,1
4,SC/ST Certificate,General Details,Beneficiary Guardian name,text,Charactar,2,2
4,SC/ST Certificate,General Details,Beneficiary Guardian Type in English,drop down,Charactar,3,1
4,SC/ST Certificate,General Details,Beneficiary Guardian name in English,text,Charactar,3,2
4,SC/ST Certificate,General Details,Gender,drop down,Charactar,4,1
4,SC/ST Certificate,General Details,Marital Status,drop down,Charactar,4,2
4,SC/ST Certificate,General Details,Date of Birth,date,Date,5,1
4,SC/ST Certificate,General Details,Relation to Applicant,drop down,Charactar,5,2
4,SC/ST Certificate,General Details,Caste STSC,search,Search,6,1
4,SC/ST Certificate,General Details,Category,text,Charactar,6,2
4,SC/ST Certificate,General Details,Caste In English,text,Charactar,7,1
4,SC/ST Certificate,General Details,Category In English,text,Charactar,7,2
4,SC/ST Certificate,General Details,Category Number,text,Charactar,8,1
4,SC/ST Certificate,General Details,Beneficiary name in English,text,Charactar,8,2
4,SC/ST Certificate,Present Address of Applicant,Address,textarea,Alfa Numeric,10,1
4,SC/ST Certificate,Present Address of Applicant,PIN Code,text,Number,10,2
4,SC/ST Certificate,Present Address of Applicant,Post Box Number,text,Alfa Numeric,11,1
4,SC/ST Certificate,Present Address of Applicant,District,drop down,Charactar,11,2
4,SC/ST Certificate,Present Address of Applicant,Address In English,textarea,Alfa Numeric,12,1
4,SC/ST Certificate,Present Address of Applicant,Is Present Address and Permanent Address is same,drop down,Charactar,12,2
4,SC/ST Certificate,Permanent Address of Applicant,Address,textarea,Alfa Numeric,14,1
4,SC/ST Certificate,Permanent Address of Applicant,PIN Code,text,Number,14,2
4,SC/ST Certificate,Permanent Address of Applicant,District,drop down,Charactar,15,1
4,SC/ST Certificate,Permanent Address of Applicant,Post Box Number,text,Alfa Numeric,15,1
4,SC/ST Certificate,Permanent Address of Applicant,Police Station,search,Search,16,2
4,SC/ST Certificate,Permanent Address on or Before Date 10 August 1950,Village or Town,text,Charactar,18,1
4,SC/ST Certificate,Permanent Address on or Before Date 10 August 1950,Patwari Halka Number,text,Number,18,2
4,SC/ST Certificate,Permanent Address on or Before Date 10 August 1950,Tehsil,text,Charactar,19,1
4,SC/ST Certificate,Permanent Address on or Before Date 10 August 1950,District,Data List,Charactar,19,2
4,SC/ST Certificate,Permanent Address on or Before Date 10 August 1950,Name of Head Of Family on This Date,text,Charactar,20,1
4,SC/ST Certificate,Permanent Address on or Before Date 10 August 1950,Applicant Relation to Head of Family,drop down,Charactar,20,2
4,SC/ST Certificate,Address Details of Year 10 August 1950 SC or 06 September 1950 ST to till Date Applicant or his Father or Mother or Guardian,Is Applicant or his Father or Mother or Guardian Year 1950 to till Date live in Chhattisgarh,drop down,Number,22,1
4,SC/ST Certificate,Address Details of Year 10 August 1950 SC or 06 September 1950 ST to till Date Applicant or his Father or Mother or Guardian,Address Details of Applicants Guardian,fieldset,Alfa Numeric,23,1
4,SC/ST Certificate,Other Details,Have Applicant issued scst certificate before,drop down,Charactar,25,1
4,SC/ST Certificate,Other Details,Details of document to proof that Beneficiary belongs to SC ST,textarea,Charactar,25,2
5,OBC Certificate,General Details,Beneficiary Guardian Type,drop down,Charactar,2,1
5,OBC Certificate,General Details,Beneficiary Guardian name,text,Charactar,2,2
5,OBC Certificate,General Details,Beneficiary Guardian Type in English,drop down,Charactar,3,1
5,OBC Certificate,General Details,Beneficiary Guardian name in English,text,Charactar,3,2
5,OBC Certificate,General Details,Gender,drop down,Charactar,4,1
5,OBC Certificate,General Details,Marital Status,drop down,Charactar,4,2
5,OBC Certificate,General Details,Date of Birth,date,Date,5,1
5,OBC Certificate,General Details,Relation to Applicant,drop down,Charactar,5,2
5,OBC Certificate,General Details,Caste OBC,search,Search,6,1
5,OBC Certificate,General Details,Category,text,Charactar,6,2
5,OBC Certificate,General Details,Caste In English,text,Charactar,7,1
5,OBC Certificate,General Details,Category In English,text,Charactar,7,2
5,OBC Certificate,General Details,Category Number,text,Charactar,8,1
5,OBC Certificate,General Details,Beneficiary name in English,text,Charactar,8,2
5,OBC Certificate,Present Address of Applicant,Address,textarea,Alfa Numeric,10,1
5,OBC Certificate,Present Address of Applicant,PIN Code,text,Number,10,2
5,OBC Certificate,Present Address of Applicant,Post Box Number,text,Alfa Numeric,11,1
5,OBC Certificate,Present Address of Applicant,District,drop down,Charactar,11,2
5,OBC Certificate,Present Address of Applicant,Address In English,textarea,Alfa Numeric,12,1
5,OBC Certificate,Present Address of Applicant,Is Present Address and Permanent Address is same,drop down,Charactar,12,2
5,OBC Certificate,Permanent Address of Applicant,Address,textarea,Alfa Numeric,14,1
5,OBC Certificate,Permanent Address of Applicant,PIN Code,text,Number,14,2
5,OBC Certificate,Permanent Address of Applicant,Post Box Number,text,Alfa Numeric,15,1
5,OBC Certificate,Permanent Address of Applicant,District,drop down,Charactar,15,2
5,OBC Certificate,Permanent Address of Applicant,Police Station,search,Search,16,1
5,OBC Certificate,Address Before or on Date 26/12/1984,Village or Town,text,Charactar,18,1
5,OBC Certificate,Address Before or on Date 26/12/1984,Patwari Halka Number,text,Number,18,2
5,OBC Certificate,Address Before or on Date 26/12/1984,Tehsil,text,Charactar,19,1
5,OBC Certificate,Address Before or on Date 26/12/1984,District,Data List,Charactar,19,2
5,OBC Certificate,Address Before or on Date 26/12/1984,Name of Head Of Family on This Date,text,Charactar,20,1
5,OBC Certificate,Address Before or on Date 26/12/1984,Applicant Relation to Head of Family,drop down,Charactar,20,2
5,OBC Certificate,Address Details of Applicant/his Father / Mother/ Guardian from Year 26/12/1984 to till Date,Address Details of Applicants Guardian,fieldset,Alfa Numeric,22,1
6,Income Certificate,Beneficiary Details,Gender,drop down,Charactar,2,1
6,Income Certificate,Beneficiary Details,Age of Beneficiary,number,Number,2,2
6,Income Certificate,Beneficiary Details,Beneficiary Guardian Type,drop down,Charactar,3,1
6,Income Certificate,Beneficiary Details,Beneficiary Guardian name,text,Charactar,3,2
6,Income Certificate,Beneficiary Details,Relation with Applicant,drop down,Alfa Numeric,4,1
6,Income Certificate,Beneficiary Details,Son or Daughter or Wife Name of Beneficiary,text,Number,4,2
6,Income Certificate,Beneficiary Details,Caste,search,Search,5,1
6,Income Certificate,Beneficiary Details,Type,text,Charactar,5,2
6,Income Certificate,Beneficiary Details,Class Number,text,Charactar,6,1
6,Income Certificate,Address Details,Address,textarea,Alfa Numeric,8,1
6,Income Certificate,Address Details,PIN Code,text,Number,8,2
6,Income Certificate,Address Details,District,drop down,Charactar,9,1
6,Income Certificate,Income Details,Details of Business or service,search,Search,11,1
6,Income Certificate,Income Details,Reason for application,Data List,Charactar,11,2
6,Income Certificate,Income Details,Annual Income,text,Charactar,12,1
6,Income Certificate,Income Details,Average Income For Last 3 Years,text,Charactar,12,2
7,Domicile Certificate,General Details,Beneficiary Guardian Type,drop down,Charactar,2,1
7,Domicile Certificate,General Details,Beneficiary Guardian name,text,Charactar,2,2
7,Domicile Certificate,General Details,Guardians Occupation of Beneficiary,search,Search,3,1
7,Domicile Certificate,General Details,Beneficiary place of Birth,text,Charactar,3,2
7,Domicile Certificate,General Details,Gender,drop down,Charactar,4,1
7,Domicile Certificate,General Details,Date of Birth,date,Date,4,2
7,Domicile Certificate,Address Details,Address,textarea,Alfa Numeric,6,1
7,Domicile Certificate,Address Details,PIN Code,text,Number,6,2
7,Domicile Certificate,Address Details,District,drop down,Charactar,7,1
7,Domicile Certificate,Particulars of stay After Birth of Beneficiary,Particulars of stay After Birth of Beneficiary,fieldset,Alfa Numeric,9,1
7,Domicile Certificate,Beneficiary Details of Business or Service,Beneficiary Details of Business or service,fieldset,Alfa Numeric,11,1
7,Domicile Certificate,Beneficiary Education Level,Beneficiary Education Level,fieldset,Alfa Numeric,13,1
7,Domicile Certificate,Other Details,Have Beneficiary Voter Id,drop down,Charactar,15,1
7,Domicile Certificate,Other Details,District Name of Beneficiary,drop down,Charactar,15,2
7,Domicile Certificate,Other Details,Living From in Years,number,Date,16,1
7,Domicile Certificate,Other Details,Reason for application Domicile,text,Charactar,16,2
7,Domicile Certificate,Other Details,Any other detail,text,Charactar,17,1
8,RTI filling at District Collectorate,General,Nationality,drop down,Alfa Numeric,2,1
8,RTI filling at District Collectorate,General,Is Applicant comes Under BPL,drop down,Charactar,3,1
8,RTI filling at District Collectorate,General,Mode of Receiving Information,drop down,Alfa Numeric,5,1
8,RTI filling at District Collectorate,General,Subject,text,Charactar,7,1
8,RTI filling at District Collectorate,General,Detail of required information,textarea,Alfa Numeric,8,1
9,RTI filling at Municipalities/Panchayat,General,Nationality,drop down,Alfa Numeric,2,1
9,RTI filling at Municipalities/Panchayat,General,Is Applicant comes Under BPL,drop down,Charactar,3,1
9,RTI filling at Municipalities/Panchayat,General,Mode of Receiving Information,drop down,Alfa Numeric,5,1
9,RTI filling at Municipalities/Panchayat,General,Subject,text,Charactar,7,1
9,RTI filling at Municipalities/Panchayat,General,Detail of required information,textarea,Alfa Numeric,8,1
10,Public Grievance Municipal Corporation/Municipality/Town Panchayat,General,Grievance Category,drop down,Charactar,2,1
10,Public Grievance Municipal Corporation/Municipality/Town Panchayat,General,Related Departmental Section,drop down,Alfa Numeric,3,1
10,Public Grievance Municipal Corporation/Municipality/Town Panchayat,General,Related Departmental Sub Section,drop down,Alfa Numeric,4,1
10,Public Grievance Municipal Corporation/Municipality/Town Panchayat,General,Detail of Grievance,textarea,Charactar,5,1
11,Public Grievance Collectorate,General,Grievance Category,drop down,Charactar,2,1
11,Public Grievance Collectorate,General,Related Departmental Section,drop down,Alfa Numeric,3,1
11,Public Grievance Collectorate,General,Related Departmental Sub Section,drop down,Alfa Numeric,4,1
11,Public Grievance Collectorate,General,Detail of Grievance,textarea,Charactar,5,1
12,Application for inclusion in Indira Gandhi old age Pension,General,Father or Husband name,text,Charactar,1,1
12,Application for inclusion in Indira Gandhi old age Pension,General,Name of Successor,text,Charactar,1,2
12,Application for inclusion in Indira Gandhi old age Pension,Address of the Applicant,Street or Neighborhood Name,text,Charactar,3,1
12,Application for inclusion in Indira Gandhi old age Pension,Address of the Applicant,Ward no and Ward name,text,Alfa Numeric,3,2
12,Application for inclusion in Indira Gandhi old age Pension,Address of the Applicant,House No or Village,text,Alfa Numeric,4,1
12,Application for inclusion in Indira Gandhi old age Pension,Address of the Applicant,Street or Post Office,text,Charactar,4,2
12,Application for inclusion in Indira Gandhi old age Pension,Address of the Applicant,District,drop down,Charactar,5,1
12,Application for inclusion in Indira Gandhi old age Pension,Address of the Applicant,PIN Code,text,Number,5,2
12,Application for inclusion in Indira Gandhi old age Pension,BPL Details,Survey Year,date,Date,7,1
12,Application for inclusion in Indira Gandhi old age Pension,BPL Details,Block  Or Municipal,text,Charactar,7,2
12,Application for inclusion in Indira Gandhi old age Pension,BPL Details,Family Identification Survey No,text,Number,8,1
12,Application for inclusion in Indira Gandhi old age Pension,BPL Details,Identification No,text,Number,8,2
12,Application for inclusion in Indira Gandhi old age Pension,BPL Details,Gender,drop down,Charactar,9,1
12,Application for inclusion in Indira Gandhi old age Pension,BPL Details,Date of Birth,date,Date,9,2
12,Application for inclusion in Indira Gandhi old age Pension,BPL Details,Age,text,Number,10,1
12,Application for inclusion in Indira Gandhi old age Pension,BPL Details,Caste Category,drop down,Charactar,10,2
12,Application for inclusion in Indira Gandhi old age Pension,BPL Details,Minority,drop down,Charactar,11,1
12,Application for inclusion in Indira Gandhi old age Pension,BPL Details,EPIC Number,text,Number,11,2
12,Application for inclusion in Indira Gandhi old age Pension,BPL Details,Enrollment Number of Aadhaar,text,Alfa Numeric,12,1
12,Application for inclusion in Indira Gandhi old age Pension,Payment Details,Aadhaar Card No,text,Number,18,1
